Alex Noren,100,100,125,125,150,170, ,125, , ,100,40, , ,50,40, ,40, ,14, , , , , , , , , , , ,50,100,150, , , , , ,100,125, ,150,66, ,100,150, ,90, ,125, ,40,90, , ,50,40,,,,,,,,35,33,,,,125,75,66,,50,35,,30,,,,,66,,,,,50,33,,,40,,33,30,,25,30,40,,40,66,,,,,,,, ,50,50,,,
Scott Piercy,250,125,150, ,150,180,250,100, , ,150,66,150, ,80,100, , ,80, , ,125,70, ,66,50, ,40, ,125,110,50, , , ,40, , ,150,33, ,50,125,40, ,125, , , , ,250,100,40, , ,66,80, ,40,50,80,,40,66,, ,125,100,66,,300,300,200,75,300,,,,66,66,,,300,80,,80,50,175,,50,75,,80,,100,,,66,,100,66,,80,80,,,,,, , , ,,,
Charles Howell III,200, ,125,125,150, ,250,100, ,150,100, , , ,33,40, ,25,28, ,50,66,60, ,50,66, , ,80,125,100,50, ,250,25,55,60, ,150, ,80, ,150,40,40,40,125, ,90, ,70,50, ,55,40, , ,28,20,25,70,40,45,,, ,55,55,,,250,250,150,,250,,,500,,33,25,,200,40,100,,40,150,80,,55,,50,100,100,80,,66,66,,45,40,30,33,,,300,200,175, ,200, ,,,
Russell Henley, , , , ,150, ,150, ,80, ,300, ,150, ,150,125, ,50,80, , , , ,22,100, ,40,33, , ,150,66, , ,125,150,100,100, ,125, , , ,125,125,80, ,70, ,90,150, ,80, ,125,90,150, ,75,66,,33,80,80,, ,,,55,,,150,125,33,150,,,200,,22,,60,200,,125,80,,100,80,,,125,33,100,,,90,50,,100,66,,,33,40,90,125,75,125, ,125,80,,,
Chez Reavie,100, ,200, ,175,100,200, , ,125,150,66,66, ,66,50,66, ,40, ,80,66,50, ,50,40, , ,80,100,80,40,55,150, , ,25,50,250, , ,60,200, ,100,125, , ,175,100,200, , ,100,45,33,50, ,33,80,,,50,,,140,125,55,50,,250,200,200,,400,,80,500,50,,,125,200,66,,75,55,200,,,,200,66,125,,55,55,,33,50,75,,30,50,,,200,125,150,40,200, ,,,
Danny Lee, , , , ,175,110,200,200,125, ,300, ,225,200,80, , , ,50, , ,80,200, ,200,150, ,80, , ,400,150, , ,66,80,100,125, ,125,150,100,350, ,110,125, ,150, ,175,250,150,150, ,250, ,150,150,,80,,,90,100,, ,,40,66,,,200,125,66,,,100,,66,40,50,100,,80,150,66,,300,150,150,225,,300,,400,350,,250,300,,275,250,150,100,,,300,250,200,50,175, ,,,
Ryan Moore,150, , , ,175,120,150,150, , ,100, ,66, ,50, , , , , , ,50,66, ,66,33, , , ,66,125, , , ,33,35,28,50, , ,100, ,125,40, ,50, ,40, ,50,175,100, , ,125, ,100,100,,,,,40,50,, ,50,16,22,,,125,80,33,150,,,200,18,40,,28,,,80,,,100,50,25,55,100,,,100,40,,66,100,,70,,,,,,150,100,80,22,200,150,,,
Matthew Wolff, , , ,66,175,130,250,100,66, ,125, ,66,66,33, ,50, , , , ,80,40, ,50, , , , , ,80,40,90, ,20,125,100,100, , , , , , , , , , , , , , , , , , ,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendon Todd, , , , ,175,150,250,125,150,150,125, , , ,40,50,40,40,100,80, , , , ,400,250,150,125, , , , , , , , , , ,750, , , , ,200,500, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Streelman,250, , , ,175,200,400,125,80, , ,100,200,250,150, , ,80,80, , ,100,100, ,80,50,66,66, , ,175,66, ,400, ,35,45,50, , ,125,100, , ,100,100, ,125, ,150,300,200,150, ,125,125,150,200,150,,,80,100,100,28, ,,,66,,,250,150,,,,,,66,50,50,100,,,150,125,,140,70,50,100,,125,,150,60,,,70,80,100,75,50,,,,,300,200,55, , ,,,
Jason Dufner, ,150,150, ,200,130,300, ,200, ,400,250, ,250,250,250, ,200,200, , , , ,100, ,150,100,100, , , ,80, , ,66,70,50, ,150,50,100, ,200, ,250,200, , , ,175,400,250,200, ,225, , , ,80,125,,80,150,150,, ,150,100,55,,,250,125,50,200,,,250,,,,,150,,75,28,,100,70,,60,150,45,125,,60,80,50,,,,,30,40,75,80,100,66,80,22,100,55,,,
Emiliano Grillo,200,100,125,175,200,150,250,100,80, ,200, ,100,80, ,80, , ,33, , ,50,80, ,80,40,33, , ,200,125, , ,200, , , ,50,125, ,66,45,150, , ,66,175, ,150, ,150, ,40,100, , ,66,50,,50,,,25,,,70,35,35,28,,90,125,125,,150,150,,250,,,,50,100,,45,40,,66,70,,40,,60,,66,,,80,,,110,100,,75,,,175,150,250,66,200,150,,,
Charley Hoffman,200, ,150,125,200,150,250,200, , ,200,125,100,250,250,150, , ,100, , , ,125, ,150,125,100, , , ,200, , ,300, ,70,60,50, , ,80,60,125, , ,50,80,55, ,175,250,125, , ,125,100,150,150,80,,,,66,,,110,100,,,,,100,125,,100,66,25,150,,,,40,150,,125,66,,100,,20,33,80,,100,80,80,100,,100,66,70,55,,,,50,70,40,50, ,40,55,,,
Erik van Rooyen,125, , , ,200,160,150, ,50,150,150, , , , , , , , , ,66, , , , , , , , , , , , ,100, , , , ,150,125, , ,250, , , , , , , , , , ,300, , , , ,,,,,,,,250,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,
Talor Gooch, , , , ,200,180,250,150,100, ,250, ,150,150,125,150, ,150,100, , , , ,150,200,150, ,150, , ,400,200, , ,80,110, , , ,150,200,150, , , , , , , , ,200,125,100, , ,125,80,200,250,,,125,,,125, ,,,,,,,,250,,,250,,225,150,,250,,200,,250,140,,400,200,,,200,,500,350,,150,400,150,,250,200,300,,,,,, , , ,,,
Harry Higgs, , , , ,200,180, ,150,80, , ,100,150,250,150,150, ,80,80,50, , , ,66,200,200,80,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
